17;13
17;13
18;15
19;16
20;18
21;19
21;21
14;8
14;8
14;8
14;8
14;9
14;9
14;9
14;10
15;11
17;13
17;13
17;13
17;13
17;13
17;13
17;13
17;13
17;13
17;13
17;13
32;42
33;42
35;42
37;41
39;41
40;41
41;39
42;37
42;35
41;33
40;32
40;30
40;28
39;26
39;24
39;22
40;21
41;19
41;17
42;16
41;14
42;12
41;11
40;10
38;9
36;10
34;10
32;9
30;9
28;9
26;9
24;8
23;7
21;7
19;7
17;7
15;8
15;8
14;8
14;8
12;26
12;26
12;26
12;26
12;26
12;26
12;27
14;27
16;27
18;27
20;26
22;26
23;25
25;25
27;26
27;28
26;30
25;31
23;32
23;34
24;36
25;37
26;39
28;40
29;41
31;42
32;42
32;42
32;42
32;42
23;10
24;11
25;12
27;13
29;14
28;16
28;18
29;19
30;21
32;22
33;23
35;24
37;25
38;27
39;28
40;30
40;32
41;34
41;36
42;37
42;39
40;40
38;40
36;41
34;41
33;39
32;38
30;37
30;37
29;36
29;35
29;35
29;35
29;33
30;32
29;31
27;31
26;30
26;29
27;28
27;27
27;27
27;27
14;31
14;29
13;28
11;27
11;27
11;27
11;27
9;27
7;26
6;25
7;23
8;22
9;21
11;20
12;18
11;16
11;15
11;13
12;11
13;9
14;8
16;8
18;8
20;8
22;8
23;10
23;10
23;10
23;10
23;10
33;26
33;28
34;29
36;31
37;32
38;34
39;35
40;37
40;39
39;40
37;40
35;40
33;39
33;37
31;36
29;36
27;37
26;36
24;35
23;34
21;34
19;33
17;33
15;32
8;23
7;21
8;21
9;21
10;20
12;18
12;16
12;15
12;15
12;15
12;15
12;15
12;13
14;12
16;12
18;12
20;12
22;12
24;13
25;13
24;12
22;12
21;13
23;15
23;17
24;18
26;19
27;20
29;22
30;23
31;24
33;39
32;38
30;37
28;37
26;36
24;36
23;35
21;35
19;34
17;33
15;33
14;32
13;30
12;28
11;27
9;27
8;27
8;27
8;27
7;26
7;24
13;7
13;7
13;7
13;7
13;7
13;7
12;7
12;8
12;8
12;8
13;10
15;10
17;11
19;11
20;11
22;13
22;15
21;17
20;17
19;15
17;15
16;16
15;18
13;19
13;20
13;20
13;19
13;17
13;16
14;15
13;13
14;13
15;14
15;12
17;12
18;11
20;11
22;11
24;12
25;13
25;15
25;17
25;19
27;20
29;20
30;21
32;22
34;23
35;24
37;25
39;26
39;28
40;30
38;31
38;33
39;35
40;37
40;38
40;40
38;41
36;41
35;40
24;24
26;25
28;26
29;27
31;27
32;29
33;31
34;32
26;16
25;15
23;14
21;13
19;12
18;12
16;12
14;13
13;15
12;16
10;18
8;19
10;20
11;19
13;18
15;18
17;19
18;20
19;21
21;22
23;23
10;18
10;20
11;22
12;24
12;26
12;28
13;30
13;32
15;33
17;33
19;35
19;34
19;34
20;34
22;33
23;33
26;35
27;37
26;39
26;39
27;37
26;35
27;33
29;32
30;32
32;31
33;29
34;27
34;25
34;24
34;22
32;20
31;19
29;18
28;17
37;19
37;19
37;19
26;25
27;27
27;29
28;30
30;31
32;31
32;29
32;27
33;25
34;23
33;22
32;20
31;19
28;18
27;17
25;16
24;15
22;14
21;13
19;12
17;11
16;9
14;8
13;7
11;6
9;6
7;6
6;6
4;7
4;9
5;11
6;12
7;13
9;15
9;17
14;17
16;18
19;18
19;18
19;18
19;18
19;18
19;18
21;17
24;17
26;17
29;17
31;18
34;18
36;19
37;20
38;18
38;19
37;19
37;19
32;13
31;13
32;12
34;11
35;11
34;12
32;13
29;13
27;12
25;11
23;10
23;8
22;6
19;6
17;7
15;4
13;5
11;5
10;5
11;7
13;8
14;9
14;9
13;11
11;12
9;14
9;15
11;15
13;16
4;9
4;7
3;5
3;2
4;3
6;4
8;5
10;6
12;5
14;5
16;5
18;5
20;5
21;7
21;9
21;11
21;13
20;15
20;17
21;17
23;18
24;20
25;21
26;23
21;33
20;34
19;36
19;38
21;39
23;39
23;37
24;35
24;33
26;32
27;30
27;29
25;27
25;26
25;24
26;22
28;22
30;23
32;23
34;24
35;26
37;27
38;28
38;30
37;31
35;32
33;32
31;33
29;33
27;33
26;34
25;36
26;37
24;37
22;38
20;39
19;38
18;36
18;34
16;32
14;32
13;30
12;28
10;27
10;25
10;23
9;22
8;19
6;18
5;17
4;15
4;13
4;11
39;19
37;19
35;19
34;17
33;15
31;14
32;13
34;13
36;12
36;13
34;13
32;13
29;13
27;11
25;8
24;6
21;6
19;6
17;5
15;4
13;6
11;6
11;5
11;6
36;4
33;5
31;5
28;4
25;4
23;4
20;5
19;6
19;7
19;7
19;7
19;7
21;9
22;11
22;13
22;14
21;16
19;17
20;18
22;18
25;17
27;17
30;17
33;18
35;18
37;18
38;19
23;38
22;39
20;38
18;37
18;35
17;33
15;33
14;31
14;31
13;29
11;28
10;27
10;26
11;24
10;22
9;20
8;19
6;19
5;18
5;16
4;14
4;12
4;11
4;11
4;10
3;8
3;7
4;5
3;2
3;4
3;6
3;9
5;11
6;11
7;13
19;7
20;7
22;5
22;6
22;8
23;10
24;11
26;13
28;13
30;13
33;14
35;15
37;16
36;17
35;19
34;19
34;18
34;18
34;18
35;17
36;18
37;21
39;23
39;26
39;28
39;31
38;31
40;29
39;27
39;24
39;21
39;19
38;16
38;13
37;11
36;8
36;6
19;13
20;13
21;11
23;10
25;10
27;11
30;11
32;12
35;13
37;14
36;14
34;12
33;9
33;7
31;4
30;4
27;4
25;4
22;4
19;5
19;7
19;7
19;7
19;7
26;15
26;15
27;17
28;16
26;16
24;15
22;16
19;16
16;16
16;18
14;19
13;19
15;19
16;20
18;19
20;18
23;18
25;18
27;18
29;17
32;18
34;19
36;20
37;22
37;23
38;24
38;25
37;27
34;28
33;30
34;32
33;33
31;32
28;31
25;31
23;30
20;30
18;30
18;28
19;26
20;23
20;20
20;18
19;15
19;13
19;39
19;39
19;39
21;40
21;41
19;40
18;37
16;35
17;35
19;34
18;33
16;33
14;32
12;31
12;29
11;28
9;26
10;24
10;22
10;20
10;20
9;21
9;22
9;22
9;22
9;22
9;22
9;22
8;21
8;19
6;20
5;18
4;16
4;16
4;16
4;16
4;14
4;12
29;17
27;15
26;14
26;14
25;13
25;13
25;12
26;11
27;10
29;10
31;10
34;10
35;12
36;14
